ticker,name,date,r_asre,r_final,r_medallion,f_score,t_score,m_score,quality_tier,stock_category,dip_stage,market_context,signal,current_price,data_quality_score,error
ETERNAL.NS,Eternal Ltd.,2026-05-19,81.0,56.5,81.0,66.5,30.2,49.8,N/A,N/A,BALANCED,N/A,🚀 Strong,241.4,0.7416666666666667,
MUTHOOTFIN.NS,Muthoot Finance Ltd.,2026-05-19,73.5,78.5,73.5,81.6,5.0,38.7,N/A,N/A,EARLY,"🎯 HIGH QUALITY DIP (Score: 82/100)
Stage: EARLY - Excellent entry timing
F=82%, T=5%, M=39%
Expected upside: 17.0% | R/R: 1.95",📈 Good,3290.9,0.705,
MCX.NS,Multi Commodity Exchange,2026-05-19,38.4,55.9,38.4,63.2,47.4,22.6,N/A,N/A,BALANCED,N/A,📉 Poor,3348.4,0.705,
CGPOWER.NS,CG Power & Industrial,2026-05-19,17.8,28.0,17.8,62.1,88.7,95.9,N/A,N/A,BALANCED,N/A,📉 Poor,808.75,0.75,
WAAREEENER.NS,Waaree Energies Ltd.,2026-05-19,83.4,72.7,83.4,81.6,22.7,94.3,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=82%, T=23%, M=94%",🚀 Strong,2997.5,0.6383333333333333,
SHRIRAMFIN.NS,Shriram Finance Ltd.,2026-05-19,67.6,70.6,67.6,75.3,95.0,23.2,N/A,N/A,EARLY,"📊 BALANCED SCENARIO
Components aligned: F=75%, T=95%, M=23%",📈 Good,933.7,0.7416666666666667,
PTCIL.NS,PTC Industries Ltd.,2026-05-19,79.4,54.3,79.4,61.2,36.1,37.8,N/A,N/A,BALANCED,N/A,🚀 Strong,16252.0,0.705,
BEL.NS,Bharat Electronics Ltd.,2026-05-19,46.2,75.1,46.2,70.2,75.5,55.5,N/A,N/A,BALANCED,N/A,⚠️  Weak,426.6,0.6966666666666667,
APARINDS.NS,Apar Industries Ltd.,2026-05-19,15.4,19.2,15.4,57.8,5.0,94.9,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=58%, T=5%, M=95%",📉 Poor,12154.0,0.6966666666666667,
UNIMECH.NS,Billionbrains Garage,2026-05-19,13.2,19.1,13.2,53.5,25.7,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=26%, M=100%",📉 Poor,929.0,0.705,
PREMIERENE.NS,Premier Energies Ltd.,2026-05-19,69.2,48.1,69.2,67.8,17.0,99.6,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=68%, T=17%, M=100%",📈 Good,986.9,0.6966666666666667,
ONESOURCE.NS,Onesource Specialty,2026-05-19,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
ATHER.NS,Ather Energy Ltd.,2026-05-19,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
PAYTM.NS,Paytm,2026-05-19,85.5,51.9,85.5,57.8,52.3,42.6,N/A,N/A,BALANCED,N/A,🚀 Strong,1105.1,0.75,
AMBER.NS,Amber Enterprises,2026-05-19,77.2,74.2,77.2,66.8,87.0,96.0,N/A,N/A,BALANCED,N/A,🚀 Strong,7153.5,0.6966666666666667,
TVSMOTOR.NS,TVS Motor Company,2026-05-19,79.5,65.2,79.5,66.4,87.1,31.9,N/A,N/A,BALANCED,N/A,🚀 Strong,3291.0,0.6966666666666667,
MOTHERSON.NS,Motherson International,2026-05-19,79.4,70.3,79.4,62.7,94.3,48.0,N/A,N/A,BALANCED,N/A,🚀 Strong,128.75,0.705,
FLUOROCHEM.NS,Gujarat Fluorochemicals,2026-05-19,13.2,19.0,13.2,53.5,16.8,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=17%, M=100%",📉 Poor,3694.5,0.705,
ZENTEC.NS,Zen Technologies,2026-05-19,15.4,26.4,15.4,57.8,95.0,95.8,N/A,N/A,BALANCED,N/A,📉 Poor,1557.0,0.7416666666666667,
SUZLON.NS,Suzlon Energy,2026-05-19,20.0,79.1,20.0,81.6,13.2,100.0,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=100%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.57",📉 Poor,53.25,0.6966666666666667,
BAJFINANCE.NS,Bajaj Finance,2026-05-19,77.2,70.5,77.2,66.8,94.5,52.3,N/A,N/A,BALANCED,N/A,🚀 Strong,921.1,0.75,
PRESTIGE.NS,Prestige Estates,2026-05-19,80.3,62.5,80.3,81.6,86.2,37.3,N/A,N/A,BALANCED,N/A,🚀 Strong,1342.7,0.705,
BDL.NS,Bharat Dynamics,2026-05-19,13.2,18.9,13.2,53.5,22.8,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=23%, M=100%",📉 Poor,1309.2,0.705,
JAINRES.NS,Jain Resource,2026-05-19,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
V2RETAIL.NS,V2 Retail,2026-05-19,68.5,73.8,68.5,81.6,20.4,100.0,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=82%, T=20%, M=100%",📈 Good,217.32,0.705,
OLAELEC.NS,Ola Electric,2026-05-19,13.2,18.4,13.2,53.5,5.0,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=5%, M=100%",📉 Poor,34.93,0.6966666666666667,
GEVERNOVA.NS,GE Vernova T&D,2026-05-19,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
RELIGARE.NS,Religare Enterprises,2026-05-19,30.4,40.9,30.4,57.8,6.4,37.1,N/A,N/A,BALANCED,N/A,📉 Poor,218.0,0.6549999999999999,
SBIN.NS,State Bank of India,2026-05-19,89.8,75.3,89.8,92.8,88.1,22.6,N/A,N/A,EARLY,"📊 BALANCED SCENARIO
Components aligned: F=93%, T=88%, M=23%",🚀 Strong,939.4,0.705,
INDUSINDBK.NS,Indusind Bank,2026-05-19,57.9,53.5,57.9,65.5,78.5,35.4,N/A,N/A,BALANCED,N/A,➡️  Neutral,892.15,0.7416666666666667,
ETERNAL.NS,Eternal Ltd.,2026-05-20,78.0,56.2,78.0,66.4,24.1,46.9,N/A,N/A,BALANCED,N/A,🚀 Strong,247.21,0.7416666666666667,
MUTHOOTFIN.NS,Muthoot Finance Ltd.,2026-05-20,73.1,78.5,73.1,81.6,5.0,39.0,N/A,N/A,EARLY,"🎯 HIGH QUALITY DIP (Score: 81/100)
Stage: EARLY - Excellent entry timing
F=82%, T=5%, M=39%
Expected upside: 17.0% | R/R: 1.94",📈 Good,3303.6,0.7416666666666667,
MCX.NS,Multi Commodity Exchange,2026-05-20,36.1,59.2,36.1,81.6,36.0,22.6,N/A,N/A,BALANCED,N/A,📉 Poor,3414.7,0.75,
CGPOWER.NS,CG Power & Industrial,2026-05-20,17.7,28.1,17.7,61.9,91.0,95.5,N/A,N/A,BALANCED,N/A,📉 Poor,819.4,0.75,
WAAREEENER.NS,Waaree Energies Ltd.,2026-05-20,20.0,78.6,20.0,81.6,16.3,93.5,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=93%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.54",📉 Poor,2998.8,0.6383333333333333,
SHRIRAMFIN.NS,Shriram Finance Ltd.,2026-05-20,67.6,70.6,67.6,75.4,95.0,23.3,N/A,N/A,EARLY,"📊 BALANCED SCENARIO
Components aligned: F=75%, T=95%, M=23%",📈 Good,927.35,0.7416666666666667,
PTCIL.NS,PTC Industries Ltd.,2026-05-20,80.0,54.0,80.0,61.2,38.4,38.2,N/A,N/A,BALANCED,N/A,🚀 Strong,16221.0,0.705,
BEL.NS,Bharat Electronics Ltd.,2026-05-20,42.8,74.1,42.8,70.4,69.0,44.5,N/A,N/A,BALANCED,N/A,📉 Poor,422.95,0.6966666666666667,
APARINDS.NS,Apar Industries Ltd.,2026-05-20,15.4,19.3,15.4,57.8,5.0,95.3,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=58%, T=5%, M=95%",📉 Poor,12327.0,0.6966666666666667,
UNIMECH.NS,Billionbrains Garage,2026-05-20,13.2,18.9,13.2,53.5,20.1,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=20%, M=100%",📉 Poor,934.3,0.705,
PREMIERENE.NS,Premier Energies Ltd.,2026-05-20,68.7,47.9,68.7,67.8,15.4,99.1,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=68%, T=15%, M=99%",📈 Good,983.1,0.6966666666666667,
ONESOURCE.NS,Onesource Specialty,2026-05-20,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
ATHER.NS,Ather Energy Ltd.,2026-05-20,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
PAYTM.NS,Paytm,2026-05-20,84.2,52.0,84.2,57.8,40.9,42.5,N/A,N/A,BALANCED,N/A,🚀 Strong,1121.4,0.75,
AMBER.NS,Amber Enterprises,2026-05-20,76.2,75.8,76.2,66.8,91.1,94.7,N/A,N/A,BALANCED,N/A,🚀 Strong,7128.5,0.6966666666666667,
TVSMOTOR.NS,TVS Motor Company,2026-05-20,80.6,65.6,80.6,66.7,88.5,32.3,N/A,N/A,BALANCED,N/A,🚀 Strong,3283.4,0.7416666666666667,
MOTHERSON.NS,Motherson International,2026-05-20,77.6,70.4,77.6,62.3,94.1,47.3,N/A,N/A,BALANCED,N/A,🚀 Strong,131.49,0.705,
FLUOROCHEM.NS,Gujarat Fluorochemicals,2026-05-20,13.2,18.8,13.2,53.5,13.3,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=13%, M=100%",📉 Poor,3748.1,0.705,
ZENTEC.NS,Zen Technologies,2026-05-20,15.4,26.4,15.4,57.8,95.0,95.4,N/A,N/A,BALANCED,N/A,📉 Poor,1564.5,0.7416666666666667,
SUZLON.NS,Suzlon Energy,2026-05-20,20.0,78.5,20.0,81.6,9.2,100.0,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=100%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.66",📉 Poor,52.91,0.6966666666666667,
BAJFINANCE.NS,Bajaj Finance,2026-05-20,75.8,71.0,75.8,66.8,95.0,49.4,N/A,N/A,BALANCED,N/A,🚀 Strong,923.55,0.75,
PRESTIGE.NS,Prestige Estates,2026-05-20,78.2,64.1,78.2,81.6,90.2,36.0,N/A,N/A,BALANCED,N/A,🚀 Strong,1377.1,0.705,
BDL.NS,Bharat Dynamics,2026-05-20,13.2,18.7,13.2,53.5,18.3,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=18%, M=100%",📉 Poor,1311.8,0.705,
JAINRES.NS,Jain Resource,2026-05-20,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
V2RETAIL.NS,V2 Retail,2026-05-20,71.8,74.1,71.8,81.6,21.6,100.0,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=82%, T=22%, M=100%",📈 Good,226.03,0.705,
OLAELEC.NS,Ola Electric,2026-05-20,13.2,18.3,13.2,53.5,5.0,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=5%, M=100%",📉 Poor,36.58,0.6966666666666667,
GEVERNOVA.NS,GE Vernova T&D,2026-05-20,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
RELIGARE.NS,Religare Enterprises,2026-05-20,38.2,45.0,38.2,67.8,10.3,40.0,N/A,N/A,BALANCED,N/A,📉 Poor,228.07,0.7142857142857143,
SBIN.NS,State Bank of India,2026-05-20,79.2,62.9,79.2,65.5,85.9,22.6,N/A,N/A,BALANCED,N/A,🚀 Strong,948.8,0.7142857142857143,
INDUSINDBK.NS,Indusind Bank,2026-05-20,57.0,54.7,57.0,65.5,72.9,35.3,N/A,N/A,BALANCED,N/A,➡️  Neutral,895.25,0.7416666666666667,
ETERNAL.NS,Eternal Ltd.,2026-05-21,73.9,56.4,73.9,66.5,17.4,44.5,N/A,N/A,BALANCED,N/A,📈 Good,243.34,0.7416666666666667,
MUTHOOTFIN.NS,Muthoot Finance Ltd.,2026-05-21,72.8,78.5,72.8,81.6,5.0,39.2,N/A,N/A,EARLY,"🎯 HIGH QUALITY DIP (Score: 81/100)
Stage: EARLY - Excellent entry timing
F=82%, T=5%, M=39%
Expected upside: 17.0% | R/R: 1.92",📈 Good,3309.3,0.7416666666666667,
MCX.NS,Multi Commodity Exchange,2026-05-21,30.5,57.1,30.5,81.6,26.0,22.7,N/A,N/A,BALANCED,N/A,📉 Poor,3441.7,0.75,
CGPOWER.NS,CG Power & Industrial,2026-05-21,17.3,27.9,17.3,61.2,93.5,95.1,N/A,N/A,BALANCED,N/A,📉 Poor,853.25,0.75,
WAAREEENER.NS,Waaree Energies Ltd.,2026-05-21,20.0,77.8,20.0,81.6,11.3,92.9,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=93%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.66",📉 Poor,3005.2,0.6383333333333333,
SHRIRAMFIN.NS,Shriram Finance Ltd.,2026-05-21,27.3,70.1,27.3,75.4,93.3,23.4,N/A,N/A,BALANCED,N/A,📉 Poor,923.45,0.7416666666666667,
PTCIL.NS,PTC Industries Ltd.,2026-05-21,83.0,54.6,83.0,61.6,55.9,38.7,N/A,N/A,BALANCED,N/A,🚀 Strong,15796.0,0.705,
BEL.NS,Bharat Electronics Ltd.,2026-05-21,44.5,77.2,44.5,81.6,69.5,32.0,N/A,N/A,BALANCED,N/A,📉 Poor,413.3,0.7416666666666667,
APARINDS.NS,Apar Industries Ltd.,2026-05-21,15.4,19.3,15.4,57.8,5.0,95.6,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=58%, T=5%, M=96%",📉 Poor,12676.0,0.6966666666666667,
UNIMECH.NS,Billionbrains Garage,2026-05-21,13.2,18.6,13.2,53.5,14.9,99.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=15%, M=99%",📉 Poor,925.3,0.705,
PREMIERENE.NS,Premier Energies Ltd.,2026-05-21,20.0,72.2,20.0,71.9,14.2,98.6,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=99%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.43",📉 Poor,992.4,0.7416666666666667,
ONESOURCE.NS,Onesource Specialty,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
ATHER.NS,Ather Energy Ltd.,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
PAYTM.NS,Paytm,2026-05-21,83.0,52.2,83.0,57.8,34.1,42.2,N/A,N/A,BALANCED,N/A,🚀 Strong,1153.5,0.75,
AMBER.NS,Amber Enterprises,2026-05-21,77.3,83.1,77.3,81.6,93.9,93.2,N/A,N/A,BALANCED,N/A,🚀 Strong,7049.5,0.7416666666666667,
TVSMOTOR.NS,TVS Motor Company,2026-05-21,80.0,65.8,80.0,66.6,87.3,32.5,N/A,N/A,BALANCED,N/A,🚀 Strong,3361.9,0.7416666666666667,
MOTHERSON.NS,Motherson International,2026-05-21,73.3,72.3,73.3,66.7,92.7,46.3,N/A,N/A,BALANCED,N/A,📈 Good,132.17,0.7416666666666667,
FLUOROCHEM.NS,Gujarat Fluorochemicals,2026-05-21,13.2,18.5,13.2,53.5,10.1,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=10%, M=100%",📉 Poor,3750.8,0.705,
ZENTEC.NS,Zen Technologies,2026-05-21,15.4,26.4,15.4,57.8,95.0,95.0,N/A,N/A,BALANCED,N/A,📉 Poor,1604.2,0.7416666666666667,
SUZLON.NS,Suzlon Energy,2026-05-21,20.0,78.1,20.0,81.6,6.4,100.0,N/A,N/A,RECOVERY,"⚠️ DIP ALREADY RECOVERING (Score: 0/100)
Stage: RECOVERY - Momentum maxed (M=100%)
Entry NOT recommended - wait for next dip or consolidation.
Risk/Reward unfavorable: 0.72",📉 Poor,52.57,0.6966666666666667,
BAJFINANCE.NS,Bajaj Finance,2026-05-21,74.3,71.3,74.3,66.8,95.0,46.8,N/A,N/A,BALANCED,N/A,📈 Good,923.1,0.75,
PRESTIGE.NS,Prestige Estates,2026-05-21,74.7,64.1,74.7,78.2,92.7,34.5,N/A,N/A,BALANCED,N/A,📈 Good,1387.8,0.705,
BDL.NS,Bharat Dynamics,2026-05-21,13.2,18.5,13.2,53.5,14.2,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=14%, M=100%",📉 Poor,1303.8,0.705,
JAINRES.NS,Jain Resource,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
V2RETAIL.NS,V2 Retail,2026-05-21,72.9,73.7,72.9,81.6,20.2,100.0,N/A,N/A,RECOVERY,"📊 BALANCED SCENARIO
Components aligned: F=82%, T=20%, M=100%",📈 Good,227.28,0.705,
OLAELEC.NS,Ola Electric,2026-05-21,13.2,18.2,13.2,53.5,5.0,100.0,N/A,N/A,LATE,"📊 BALANCED SCENARIO
Components aligned: F=54%, T=5%, M=100%",📉 Poor,36.96,0.6966666666666667,
GEVERNOVA.NS,GE Vernova T&D,2026-05-21,50.0,,,,,,N/A,N/A,N/A,N/A,⚠️  No data,,,Insufficient historical data
RELIGARE.NS,Religare Enterprises,2026-05-21,53.7,45.5,53.7,67.8,12.3,43.8,N/A,N/A,BALANCED,N/A,⚠️  Weak,228.52,0.7142857142857143,
SBIN.NS,State Bank of India,2026-05-21,78.2,62.6,78.2,65.5,78.0,22.6,N/A,N/A,BALANCED,N/A,🚀 Strong,950.9,0.7142857142857143,
INDUSINDBK.NS,Indusind Bank,2026-05-21,55.2,55.4,55.2,65.5,63.1,35.2,N/A,N/A,BALANCED,N/A,➡️  Neutral,897.15,0.7416666666666667,
